"offerId","available","name","description","model","warranty","currencyId","categoryId","price","picture1","picture2","picture3","picture4"
"ERC-R6015Ut","true","Машинка Same Toy Mod-Builder Трактор-погрузчик R6015Ut","<p>Машинка Same Toy Mod-Builder трактор-погрузчик.<br /> Дети узнают, как работает спецтехника и такая модель имеет большую грузоподъемность, чем обычные экскаваторы. Она предназначена для землеройных или дорожно-строительных работ. Собери всю коллекцию спецтехники и построй свою инфраструктуру. Игрушка изготовлена из прочного пластика, поэтому устойчив к ударам.<br /> Тип: наземный транспорт. Вид трактор. Материал корпуса пластик<br /> Цвет: оранжевый, черный<br /> Для детей от 3-х лет.<br /> Размеры: 46 x 15 x 23.5 см<br /> вес 216гр<br /> Страна Китай</p> ","R6015Ut","true","UAH","809","729","http://www.erc.ua/i/goods/R6015Ut.jpg","https://erc.ua/upload/uploaded_images/738/5ac75f102ca05_r6015ut-3.jpg","https://erc.ua/upload/uploaded_images/658/5ac75f1a7e27d_r6015ut-2.jpg","0"
"ERC-R6007Ut","true","Машинка Same Toy Mod-Builder Трактор с ковшом R6007Ut","<p>Машинка Mod-Builder Трактор с ковшом -имеет дизайн настоящего трактора. Его колеса свободно вращаются, ковш легко поднимается и опускается. Резина на колесах имеет тракторную поверхность, что позволит с легкостью проезжать по песку или камням. Для детей от 3-х лет.<br /> Тип наземный транспорт<br /> вид экскаватор<br /> Возрастная группа 3+<br /> Особенности откидной ковш<br /> Размер 30 х 11 х 12 см<br /> Цвет оранжевый, черный<br /> Вес 240 г<br /> материал пластик</p> ","R6007Ut","true","UAH","809","379","http://www.erc.ua/i/goods/R6007Ut.jpg","https://erc.ua/upload/uploaded_images/496/5a9f1117a549f_r6007ut-4.jpg","https://erc.ua/upload/uploaded_images/192/5a09cc4f5f0ab_r6007ut-2.jpg","0"
"ERC-R6015-1Ut","true","Машинка Same Toy Mod-Builder Трактор с ковшом R6015-1Ut","<p>Трактор-экскаватор - поразительная машина. 
Массивные колеса, замечательная реалистичность, интересные детали - ребенок непременно обрадуется такой игрушке. 
Трактор изготовлен из пластика. Материал безопасен и при этом качественный. 
Конструкция игрушки крепкая, выдержит длительную эксплуатацию. 
Для детей от трех лет. 
Размер транспортной модели: 37х15,5х25 см.</p> <p> </p> ","R6015-1Ut","true","UAH","809","729","http://www.erc.ua/i/goods/R6015-1Ut.jpg","https://erc.ua/upload/uploaded_images/772/5a3af53a2db7d_r6015-1ut_3.jpg","https://erc.ua/upload/uploaded_images/859/5a37dcb115c32_r6015-1ut_2.jpg","0"
"ERC-F927Ut","true","Машинка Same Toy MOD Трактор с ковшом F927Ut","<p>Трактор-погрузчик с ковшом - необычная игрушка, разновидность спецтехники. 
Трактор на дистанционном пульте управления. 
С его помощью можно привести в движение трактор: проехать ним вперед и назад, а также управлять ковшом. 
Игрушка массивная, впечатляющего размера. 
Трактор изготовлен из безопасного, нетоксичного пластика. 
Пульт управления на батарейке. 
Также в комплекте аккумуляторы для тракторов и кабель для подзарядки аккумуляторов. 
Для детей от трех лет.</p> ","F927Ut","true","UAH","809","1562","http://www.erc.ua/i/goods/F927Ut.jpg","https://erc.ua/cache/media/1200_1200_inset/upload/uploaded_images/126/5a5beea55f70f_f927ut_2.jpg","https://erc.ua/cache/media/1200_1200_inset/upload/uploaded_images/335/5a343afcc0865_f927ut_2.jpg","0"
"ERC-F928Ut","true","Машинка Same Toy MOD Трактор с ковшом F928Ut","<p>Игрушка - впечатляющий экскаватор с ковшом. 
Трактор на дистанционном пульте управления. 
С его помощью можно привести в движение трактор: проехать ним вперед и назад, а также управлять ковшом. 
Игрушка массивная, впечатляющего размера. 
Трактор изготовлен из безопасного, нетоксичного пластика. 
Пульт управления на батарейке. 
Также в комплекте аккумуляторы для тракторов и кабель для подзарядки аккумуляторов. 
Для детей от трех лет.</p> ","F928Ut","true","UAH","809","1562","http://www.erc.ua/i/goods/F928Ut.jpg","https://erc.ua/upload/uploaded_images/253/5a5d2ae33b288_f928ut_2.jpg","https://erc.ua/upload/uploaded_images/320/5a5d2ae1f07eb_f928ut_5.jpg","https://erc.ua/upload/uploaded_images/509/5a5d2ae75a28e_f928ut_7.jpg"
"ERC-S929Ut","true","Машинка Same Toy Super Loader Трактор вилочный погрузчик S929Ut","<p>Огромный вилочный погрузчик на пульте управления от Same Toy поразит маленького строителя своей функциональностью. Спецтехника так похожа на настоящую - дизайн, детали, механизм.<br /> Особенности погрузчика - детализированная кабина машиниста, поручни, лестницы, пневматический механизм вилочного механизма.<br /> С помощью пульта управления ребенок сможет управлять движением трактора: он будет ехать вперед и назад, поворачивать влево-вправо, поднимать вилочный механизм вверх, опускать вниз.<br /> Пульт управления работает от 4-х АА батареек (не входят в комплект).<br /> Игрушечный погрузчик с массивными колесами. Такой игрушкой можно играть в песке, на пляже, во дворе.<br /> Ребенок сможет использовать механизм погрузчика по назначению: поднимать камни, емкости с песком или водой. Игрушка выглядит совсем как настоящая объекты.<br /> Игрушечная строительная спецтехника поможет развивать воображение, большую и мелкую моторику, координацию движений и мышления. Сюжетно-ролевые игры с такими машинами будут яркими, эмоциональными и интересными. Игрушка произведена из прочного пластика, протектор на колесах позволяет машине проезжать сложные участки.<br /> Для детей от 3-х лет</p> ","S929Ut","true","UAH","809","1194","http://www.erc.ua/i/goods/S929Ut.jpg","https://erc.ua/upload/uploaded_images/766/5a6e71266b7bd_s929ut-2.jpg","0","0"
"ERC-S928Ut","true","Машинка Same Toy Super Loader Трактор с ковшом S928Ut","<p>Огромный игрушечный экскаватор на пульте управления от Same Toy. 
Яркая многофункциональная машина может ехать вперед и назад, поворачивать влево и вправо, поднимать и опускать ковш - все как в настоящей спецтехники! 
Управлять машиной можно с помощью пульта управления, который работает от 4-х АА батареек (не входят в комплект). 
Протектор на колесах позволит с легкостью проезжать по песку или камням. 
Дети узнают, как работает такая спецтехника и эта модель предназначена для землеройных или дорожно-строительных работ. 
Собери всю коллекцию спецтехники и построй свою инфраструктуру. 
Трактор изготовлен из прочного пластика, некоторые элементы металлические - поэтому он устойчив к ударам. 
Его длина 60 см. Для детей от 3-х лет.</p> ","S928Ut","true","UAH","809","1194","http://www.erc.ua/i/goods/S928Ut.jpg","https://erc.ua/upload/uploaded_images/216/5a496ad55baff_s928ut_4.jpg","https://erc.ua/upload/uploaded_images/682/5a496ad365ea4_s928ut_2.jpg","0"
"ERC-S927Ut","true","Машинка Same Toy Super Loader Трактор фронтальный погрузчик S927Ut","<p>Трактор-погрузчик - впечатляющая игрушка. Особенность транспорта - он с пультом дистанционного управления. 
С помощью пульта можно привести в движение трактор: проехать ним вперед и назад, а также управлять механизмом бульдозера: поднимать его и опускать. 
Игрушка массивная, размером: 55х20х23 см. 
Трактор изготовлен из безопасного, нетоксичного пластика. 
Пульт управления на батарейках типа АА (4 шт., В комплект не входят). 
Для детей от трех лет.</p> ","S927Ut","true","UAH","809","1194","http://www.erc.ua/i/goods/S927Ut.jpg","https://erc.ua/upload/uploaded_images/778/5a5bee1d2f6fa_s927ut_3.jpg","https://erc.ua/upload/uploaded_images/405/5a31a5af4b556_s927ut_2.jpg","0"
"ERC-98-89Ut-1","true","Машинка инерционная Same Toy Super Combination Самосвал красный с бульдозером 98-89Ut-1","<p>Машинка инерционная Super Combination Самосвал (красный) с бульдозером<br /> Тип наземный транспорт<br /> Вид самосвал, бульдозер<br /> Серия SUPER combination<br /> Возрастная группа 3+<br /> Особенности С инерционным механизмом, отцепочного прицеп<br /> Двигая части (механическим способом)<br /> Размер 58 см длина<br /> Размеры упаковки 67.5х20х14 см<br /> Цвет красный, зеленый, желтый<br /> Вес 1238 г брутто<br /> материал пластик</p> ","98-89Ut-1","true","UAH","809","608","http://www.erc.ua/i/goods/98-89Ut-1.jpg","https://erc.ua/upload/uploaded_images/657/5a608a9871307_98-89ut-1-2.jpg","0","0"
"ERC-98-612Ut-1","true","Машинка инерционная Same Toy Truck Бетономешалка желтая 98-612Ut-1","<p>Желтая бетономешалка с инерционным механизмом. Достаточно большая машина имеет очень реалистичный вид. Поражают хорошо проработаны детали: интерьер кабины, конструкция емкости для бетона, вращается. Игрушка изготовлена из качественного и безопасного пластика. Игрушка побуждать детей к физической активности, сюжетно-ролевых игр. Размер машинки: 29х10х15 см. Рекомендуемый возраст: 3+.</p> ","98-612Ut-1","true","UAH","809","368","http://www.erc.ua/i/goods/98-612Ut-1.jpg","https://erc.ua/upload/uploaded_images/625/5a2ee65c8f0e2_98-612ut-1-2.jpg","https://erc.ua/upload/uploaded_images/848/5a2ee65678da5_98-612ut-1-3.jpg","0"
